,Time,Value
0,0,248
1,1,248
2,2,14073
3,3,-249
4,4,-249
5,5,-249
6,6,-249
7,7,-5895
8,8,248
9,9,248
10,10,248
11,11,-249
12,12,-249
13,13,-249
14,14,-249
15,15,-249
16,16,248
17,17,248
18,18,248
19,19,248
20,20,-249
21,21,-249
22,22,-249
23,23,-249
24,24,-31234
25,25,248
26,26,248
27,27,248
28,28,15364
29,29,-249
30,30,-249
31,31,-249
32,32,-249
33,33,248
34,34,248
35,35,248
36,36,-249
37,37,248
38,38,248
39,39,248
40,40,23288
41,41,-249
42,42,-249
43,43,-249
44,44,-249
45,45,10491
46,46,248
47,47,248
48,48,248
49,49,-21753
50,50,-249
51,51,-249
52,52,-249
53,53,-249
54,54,248
55,55,248
56,56,248
57,57,248
58,58,-249
59,59,-249
60,60,-249
61,61,-249
62,62,-26369
63,63,248
64,64,248
65,65,248
66,66,3075
67,67,-249
68,68,-249
69,69,-249
70,70,-249
71,71,248
72,72,248
73,73,248
74,74,248
75,75,-249
76,76,-249
77,77,-249
78,78,-249
79,79,-7165
80,80,248
81,81,248
82,82,248
83,83,32766
84,84,-249
85,85,-249
86,86,-249
87,87,-249
88,88,248
89,89,248
90,90,248
91,91,248
92,92,-249
93,93,-249
94,94,-249
95,95,-249
96,96,15623
97,97,248
98,98,248
99,99,248
100,100,29446
101,101,-249
102,102,-249
103,103,-249
104,104,-249
105,105,248
106,106,248
107,107,248
108,108,248
109,109,-249
110,110,-249
111,111,-249
112,112,-249
113,113,-17664
114,114,248
115,115,248
116,116,248
117,117,-2047
118,118,-249
119,119,-249
120,120,-249
121,121,-249
122,122,248
123,123,248
124,124,248
125,125,248
126,126,-249
127,127,-249
128,128,-249
129,129,-249
130,130,-12028
131,131,248
132,132,248
133,133,248
134,134,27389
135,135,-249
136,136,-249
137,137,-249
138,138,-249
139,139,248
140,140,248
141,141,248
142,142,248
143,143,-249
144,144,-249
145,145,-249
146,146,-249
147,147,-3833
148,148,248
149,149,248
150,150,248
151,151,20473
152,152,-249
153,153,-249
154,154,-249
155,155,-249
156,156,-6407
157,157,248
158,158,248
159,159,248
160,160,-249
161,161,-249
162,162,-249
163,163,-21846
164,164,248
165,165,-249
166,166,-249
167,167,-249
168,168,-249
169,169,-249
170,170,248
171,171,248
172,172,248
173,173,25848
174,174,-249
175,175,-249
176,176,-249
177,177,-249
178,178,-2310
179,179,248
180,180,248
181,181,248
182,182,-11769
183,183,-249
184,184,-249
185,185,-249
186,186,-249
187,187,248
188,188,248
189,189,248
190,190,248
191,191,-249
192,192,-249
193,193,-249
194,194,-249
195,195,29439
196,196,248
197,197,248
198,198,248
199,199,-3070
200,200,-249
201,201,-249
202,202,-249
203,203,-249
204,204,248
205,205,248
206,206,248
207,207,248
208,208,-249
209,209,-249
210,210,-249
211,211,-249
212,212,-16381
213,213,248
214,214,248
215,215,248
216,216,-25090
217,217,-249
218,218,-249
219,219,-249
220,220,-249
221,221,248
222,222,248
223,223,248
224,224,248
225,225,-249
226,226,-249
227,227,-249
228,228,-249
229,229,-249
230,230,248
231,231,248
232,232,248
233,233,248
234,234,-249
235,235,-249
236,236,-249
237,237,-249
238,238,-19964
239,239,248
240,240,248
241,241,248
242,242,30205
243,243,-249
244,244,-249
245,245,-249
246,246,-249
247,247,248
248,248,248
249,249,248
250,250,248
251,251,-249
252,252,-249
253,253,-249
254,254,-249
255,255,-10489
256,256,248
257,257,248
258,258,248
259,259,28665
260,260,-249
261,261,-249
262,262,-249
263,263,-249
264,264,-24583
265,265,248
266,266,248
267,267,248
268,268,-249
269,269,-249
270,270,-249
271,271,-249
272,272,-249
273,273,248
274,274,248
275,275,248
276,276,248
277,277,-249
278,278,-249
279,279,-249
280,280,-249
281,281,1534
282,282,248
283,283,248
284,284,248
285,285,-8188
286,286,-249
287,287,-249
288,288,-249
289,289,-249
290,290,248
291,291,-249
292,292,22021
293,293,248
294,294,248
295,295,248
296,296,-15108
297,297,-249
298,298,-249
299,299,-249
300,300,-249
301,301,248
302,302,248
303,303,248
304,304,248
305,305,-249
306,306,-249
307,307,-249
308,308,-249
309,309,-249
310,310,248
311,311,248
312,312,248
313,313,-4872
314,314,-249
315,315,-249
316,316,-249
317,317,-249
318,318,27898
319,319,248
320,320,248
321,321,248
322,322,-249
323,323,-249
324,324,-249
325,325,-249
326,326,-249
327,327,248
328,328,248
329,329,248
330,330,248
331,331,-249
332,332,-249
333,333,-249
334,334,-249
335,335,-13826
336,336,248
337,337,248
338,338,248
339,339,516
340,340,-249
341,341,-249
342,342,-249
343,343,-249
344,344,248
345,345,248
346,346,248
347,347,248
348,348,-249
349,349,-249
350,350,-249
351,351,-249
352,352,7427
353,353,248
354,354,248
355,355,16122
356,356,-249
357,357,-249
358,358,-249
359,359,-249
360,360,-21256
361,361,248
362,362,248
363,363,248
364,364,-249
365,365,-249
366,366,-249
367,367,-249
368,368,-249
369,369,248
370,370,248
371,371,248
372,372,248
373,373,-249
374,374,-249
375,375,-249
376,376,-249
377,377,3325
378,378,248
379,379,248
380,380,248
381,381,-17659
382,382,-249
383,383,-249
384,384,-249
385,385,-249
386,386,248
387,387,248
388,388,248
389,389,248
390,390,-249
391,391,-249
392,392,-249
393,393,-249
394,394,20993
395,395,248
396,396,248
397,397,248
398,398,14337
399,399,-249
400,400,-249
401,401,-249
402,402,-249
403,403,248
404,404,248
405,405,248
406,406,248
407,407,-249
408,408,-249
409,409,-249
410,410,-249
411,411,30213
412,412,248
413,413,248
414,414,248
415,415,-27396
416,416,-249
417,417,-249
418,418,-249
419,419,-249
420,420,-249
421,421,13310
422,422,248
423,423,248
424,424,248
425,425,-17148
426,426,-249
427,427,-249
428,428,-249
429,429,-249
430,430,248
431,431,248
432,432,248
433,433,248
434,434,-249
435,435,-249
436,436,-249
437,437,-249
438,438,30466
439,439,248
440,440,248
441,441,248
442,442,6656
443,443,-249
444,444,-249
445,445,-249
446,446,-249
447,447,248
448,448,248
449,449,248
450,450,248
451,451,-249
452,452,-249
453,453,-249
454,454,-249
455,455,27142
456,456,248
457,457,248
458,458,248
459,459,-16645
460,460,-249
461,461,-249
462,462,-249
463,463,-249
464,464,248
465,465,248
466,466,248
467,467,248
468,468,-249
469,469,-249
470,470,-249
471,471,-249
472,472,-249
473,473,248
474,474,248
475,475,248
476,476,12024
477,477,-249
478,478,-249
479,479,-249
480,480,-249
481,481,27387
482,482,248
483,483,-249
484,484,-249
485,485,-249
486,486,248
487,487,248
488,488,248
489,489,248
490,490,-249
491,491,-249
492,492,-249
493,493,-249
494,494,-7930
495,495,248
496,496,248
497,497,248
498,498,-2310
499,499,-249
500,500,-249
501,501,-249
502,502,-249
503,503,248
504,504,248
505,505,248
506,506,248
507,507,-249
508,508,-249
509,509,-249
510,510,-249
511,511,-249
512,512,248
